DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
26/01/2023,34164,21642, 85331-53702, 36678-49662-96488-70757-21183-72285, 2204-4344-9025-9940, 3753-4608-9088-7731-5934-6916, 100-874-364, 32-60-46-20, 11LG-5LG-4LG-12LG-8LG-1LG
25/01/2023,52371,45082, 87473-55003, 44656-18647-37207-71263-51955-58209, 7943-2928-1910-4411, 4148-0340-5084-5712-7654-1849, 083-687-637, 07-18-29-55, 22LH-25LH-1LH-7LH-10LH-13LH-18LH-19LH-2LH-23LH
20/01/2023,91869,62613, 89561-17438, 79710-68693-48902-08300-92038-67549, 2455-1085-3800-5406, 1138-8058-3367-2046-1602-0067, 216-832-186, 18-36-82-59, 16LK-9LK-6LK-17LK-2LK-19LK-3LK-14LK
19/01/2023,62857,24246, 65122-22745, 90440-33540-05110-78018-71497-53655, 1463-1863-4482-5932, 2342-9101-9125-9116-9435-9550, 915-320-074, 26-23-57-96, 10LP-3LP-13LP-1LP-12LP-15LP
18/01/2023,45282,76552, 51893-50516, 92764-68866-66740-51752-37335-04030, 3342-4405-7005-3904, 3556-7580-0501-2381-4260-3127, 926-295-635, 69-04-35-86, 4LQ-11LQ-1LQ-12LQ-6LQ-14LQ
17/01/2023,53363,1443, 02569-17053, 87586-46192-21006-19548-86539-33921, 7295-3401-0582-6328, 4443-2517-8199-7522-7936-3211, 197-642-529, 35-29-04-55, 10LR-11LR-15LR-5LR-2LR-8LR
16/01/2023,48260,83587, 79324-24955, 97698-03474-79118-27721-67766-60068, 9999-2793-8423-8738, 6232-7156-7587-1067-6779-6885, 456-695-805, 53-07-71-23, 12LS-4LS-14LS-13LS-15LS-8LS
15/01/2023,44221,25945, 14590-57392, 84792-14379-92716-86841-87280-96564, 7401-4194-1991-5569, 9333-9812-3708-3904-1078-2104, 938-566-749, 45-57-00-28, 1LT-15LT-14LT-2LT-9LT-11LT
14/01/2023,62940,27086, 84830-42992, 26177-28240-86842-54934-53016-11166, 1213-7375-8375-1727, 0737-3018-1279-2435-5696-5434, 949-318-656, 02-34-82-81, 16LU-3LU-6LU-15LU-11LU-19LU-4LU-17LU
13/01/2023,60762,70413, 94856-73874, 38562-54962-09294-88168-03998-21450, 8234-7644-3492-0818, 1114-2556-1891-8732-9010-4068, 962-160-238, 70-73-54-66, 11LV-2LV-10LV-5LV-1LV-13LV
